127.0.0.1 - - [02/May/2018:11:36:20 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:41 -0300] "GET /Vendas/ HTTP/1.1" 200 6639
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:41 -0300] "GET /Vendas/faces/javax.faces.resource/style.css;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=css HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/theme.css?ln=primefaces-sam HTTP/1.1" 200 19670
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.css;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery.js;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.css;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 55469
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.js;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.js;jsessionid=F529FF010A0A22C00A7747084049DA39?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [02/May/2018:11:36:42 -0300] "GET /Vendas/RES_NOT_FOUND HTTP/1.1" 404 1034
